name,outcome,did_coef,did_se,did_pvalue,paradise_coef,r_squared,n_obs
Total Jobs,c000,-26.508713161527663,6.533645001757633,4.9651256128630427e-05,8.40480196181689,0.004478179892743905,20885
Construction,cns04,0.04285068303843245,0.26373886225623094,0.8709326754647928,-0.5976136096695066,0.012011748039766124,20885
Retail Trade,cns07,-3.071327878452337,0.8100088976811346,0.00014960683504159356,0.5789797867893549,0.0034718546476982803,20885
Educational Services,cns15,-0.12223029891099146,1.4173075676870606,0.9312746834696932,-1.543942712107898,0.005244609780196585,20885
Health Care,cns16,-18.42017429916281,5.298613329308135,0.0005081669122869066,17.270211319561827,0.0040730357523536265,20885
Accommodation & Food,cns18,-2.13358402268964,0.6166189434819123,0.0005399071240533951,-0.20138961483276416,0.009977495733365038,20885
Public Administration,cns20,-0.06106875657365673,0.559760049341728,0.9131246836688549,-2.0899007014395736,0.002084820513979846,20885
Low Earnings,ce01,-7.313292783128634,1.3993679367921377,1.7308530159413236e-07,4.790753210999479,0.010616950362779654,20885
Medium Earnings,ce02,-8.373023659679962,2.418815366764608,0.0005369313842872033,3.6526194684952937,0.004914249319195596,20885
High Earnings,ce03,-10.822396718719089,3.212693607794942,0.0007554100159718107,-0.03857071767788938,0.005217066550484928,20885
