year,actual,synthetic,gap,period
2013,92.5463179199751,92.54631646778168,1.4521934161848549e-06,pre
2014,94.2316674451191,94.23166596601334,1.4791057623142478e-06,pre
2015,98.12782189008252,98.12782054693545,1.3431470620162145e-06,pre
2016,99.17484041725051,99.17483897874958,1.4385009308170993e-06,pre
2017,100.0,100.00000000000003,-2.842170943040401e-14,pre
2018,102.25361980382999,101.50292630349679,0.7506935003331989,post
2019,98.92184337536976,101.90877248893656,-2.986929113566802,post
2020,97.22092480149463,95.97835600194605,1.2425687995485788,post
2021,95.26311692355597,96.35268746948516,-1.0895705459291918,post
2022,97.0652343141834,103.03123312112588,-5.96599880694248,post
2023,96.97182002179667,104.20991958773533,-7.238099565938654,post
